Tag_ID,Length,Width,Exterior_Trt,Tissue_Trt,Preserv_Trt,Overall_Trt,Fluid_mL,Vial_Number,Tray,Date,Time_extracted,Time_in_table,Date_Time_Dead,Notes,Time_extracted,Lifespan_days,BlueCrab_Confounding_Deaths
D091,41,31,Control,Control,Control,Control_Control_Control,NA,NA,Control_1-106,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,YES
D092,44,27,Control,Control,Control,Control_Control_Control,NA,NA,Control_1-106,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D093,43,26,Control,Control,Control,Control_Control_Control,NA,NA,Control_1-106,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D094,41,24,Control,Control,Control,Control_Control_Control,NA,NA,Control_1-106,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D095,41,28,Control,Control,Control,Control_Control_Control,NA,NA,Control_1-106,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D096,38,21,Control,Control,Control,Control_Control_Control,NA,NA,Control_1-106,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D097,30,20,Control,Control,Control,Control_Control_Control,NA,NA,Control_1-106,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D098,30,19,Control,Control,Control,Control_Control_Control,NA,NA,Control_1-106,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D099,41,27,Control,Control,Control,Control_Control_Control,NA,NA,Control_1-106,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D100,41,27,Control,Control,Control,Control_Control_Control,NA,NA,Control_1-106,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D081,56.8,36.4,Control,Control,Control,Control_Control_Control,NA,NA,Control_2-173,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D082,54,32.7,Control,Control,Control,Control_Control_Control,NA,NA,Control_2-173,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D083,49,27,Control,Control,Control,Control_Control_Control,NA,NA,Control_2-173,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D084,53.1,39.2,Control,Control,Control,Control_Control_Control,NA,NA,Control_2-173,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D085,48.3,31.7,Control,Control,Control,Control_Control_Control,NA,NA,Control_2-173,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D086,46.1,27.3,Control,Control,Control,Control_Control_Control,NA,NA,Control_2-173,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D087,36.8,23.7,Control,Control,Control,Control_Control_Control,NA,NA,Control_2-173,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D088,41.5,24,Control,Control,Control,Control_Control_Control,NA,NA,Control_2-173,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D089,45.6,35.8,Control,Control,Control,Control_Control_Control,NA,NA,Control_2-173,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D090,39,24.5,Control,Control,Control,Control_Control_Control,NA,NA,Control_2-173,7/19/2022,4:50:00 PM,4:50:00 PM,07/24/2022 9:58:00,,7/19/2022 16:50:00,4.713888889,
D101,39,27.6,Control,Control,Control,Control_Control_Control,NA,NA,Control_3 -161,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D102,45,31.1,Control,Control,Control,Control_Control_Control,NA,NA,Control_3 -161,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D103,37.6,25.9,Control,Control,Control,Control_Control_Control,NA,NA,Control_3 -161,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D104,41.8,30.8,Control,Control,Control,Control_Control_Control,NA,NA,Control_3 -161,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D105,36.9,26.2,Control,Control,Control,Control_Control_Control,NA,NA,Control_3 -161,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D106,31.5,22.9,Control,Control,Control,Control_Control_Control,NA,NA,Control_3 -161,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D107,41.8,23,Control,Control,Control,Control_Control_Control,NA,NA,Control_3 -161,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D108,39.2,26,Control,Control,Control,Control_Control_Control,NA,NA,Control_3 -161,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D109,45.6,32,Control,Control,Control,Control_Control_Control,NA,NA,Control_3 -161,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D110,46.4,31.4,Control,Control,Control,Control_Control_Control,NA,NA,Control_3 -161,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D050,38.1,30,Control,Control,Control,Control_Control_Control,NA,NA,Control_6-169,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,YES
D066,40.1,31.8,Control,Control,Control,Control_Control_Control,NA,NA,Control_6-169,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,YES
D009,37.5,26.4,Control,Control,Control,Control_Control_Control,NA,NA,Control_6-169,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D016,39.8,23.7,Control,Control,Control,Control_Control_Control,NA,NA,Control_6-169,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D017,27.5,21.3,Control,Control,Control,Control_Control_Control,NA,NA,Control_6-169,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D019,29.5,24,Control,Control,Control,Control_Control_Control,NA,NA,Control_6-169,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D022,41.8,20,Control,Control,Control,Control_Control_Control,NA,NA,Control_6-169,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D023,34.6,21.3,Control,Control,Control,Control_Control_Control,NA,NA,Control_6-169,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D028,38,24,Control,Control,Control,Control_Control_Control,NA,NA,Control_6-169,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D035,33.9,24.3,Control,Control,Control,Control_Control_Control,NA,NA,Control_6-169,7/19/2022,4:50:00 PM,4:50:00 PM,,,7/19/2022 16:50:00,,
D013,37.4,28.2,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,380,21021,NotchEPF_7-118,7/20/2022,10:42:16 AM,11:55:00 AM,,,7/20/2022 10:42:16,,
D054,40.1,27,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,360,21022,NotchEPF_7-118,7/20/2022,10:47:32 AM,11:55:00 AM,,,7/20/2022 10:47:32,,
D061,49.3,50,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,500,21023,NotchEPF_7-118,7/20/2022,10:50:56 AM,11:55:00 AM,,,7/20/2022 10:50:56,,
D070,53.8,38,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,500,21024,NotchEPF_7-118,7/20/2022,10:54:36 AM,11:55:00 AM,,,7/20/2022 10:54:36,,
D078,42.2,28.5,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,420,21025,NotchEPF_7-118,7/20/2022,10:57:04 AM,11:55:00 AM,,,7/20/2022 10:57:04,,
D049,37.6,27.4,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,500,21026,NotchEPF_7-118,7/20/2022,10:59:17 AM,11:55:00 AM,7/25/2022 9:01 AM,,7/20/2022 10:59:17,4.917854375,
D053,43.2,26,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,200,21027,NotchEPF_7-118,7/20/2022,11:03:07 AM,11:55:00 AM,,,7/20/2022 11:03:07,,
D041,38.5,24.8,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,200,21028,NotchEPF_7-118,7/20/2022,11:07:52 AM,11:55:00 AM,,,7/20/2022 11:07:52,,
D135,55.6,27,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,500,21029,NotchEPF_7-118,7/20/2022,11:09:00 AM,11:55:00 AM,,,7/20/2022 11:09:00,,
D134,39.4,23.6,Notch,EPF,FlashFreeze,Notch_EPF_FlashFreeze,400,21030,NotchEPF_7-118,7/20/2022,11:10:17 AM,11:55:00 AM,,,7/20/2022 11:10:17,,
